Localisation,Station,Parcelle,Date,pH piezo 30cm,DO piezo 30cm,redox piezo 30cm,pH eau de surface,DO eau de surface,redox eau de surface,pH eau inter,DO eau inter,redox eau inter
Babin ,RB,RB1,10/04/2025,"7,42","3,95",/,"7,09","4,49","51,9",/,/,/
Babin ,RB,RB2,10/04/2025,"7,34","4,9",/,"6,8","2,58","9,8",/,/,/
Babin ,RB,RB3,10/04/2025,"7,09","3,31","-39,2","7,08","1,56","-62,4",/,/,/
Babin ,RB,RB4,10/04/2025,"7,18","2,51",/,"6,89","1,86","7,2",/,/,/
Babin ,RH,RH1,10/04/2025,"6,81","2,06","-103,6","6,53","0,38","-58,1",/,/,/
Babin ,RH,RH2,10/04/2025,"7,26","0,34","-146,6","6,55","0,55","-56,6",/,/,/
Babin ,RH,RH3,10/04/2025,"7,45","1,89","-112,6","6,77","0,3","-142,6",/,/,/
Babin ,RH,RH4,10/04/2025,"7,23","1,88","-66,6","6,93","0,32","-126,6",/,/,/
Babin ,T,T1,10/04/2025,"7,25","0,23","-122,6","6,95","0,24","-139,6",/,/,/
Babin ,T,T2,10/04/2025,"8,02","0,17","-156,6","7,04","0,51","-107,3",/,/,/
Babin ,T,T3,10/04/2025,"7,27","0,19","-146,6","6,96","0,21","-106,6",/,/,/
Babin ,T,T4,10/04/2025,"7,29","0,53","-131,2","6,9","0,23","-146,6",/,/,/
Babin ,A,A1,10/04/2025,"7,75","2,26","29,4","7,71","0,86","107,4",/,/,/
Babin ,A,A2,10/04/2025,"7,87","0,94","-94,6","7,38","0,45","-136,6",/,/,/
Babin ,A,A3,10/04/2025,"7,69","1,73","-74,6","7,57","0,2","-156,6",/,/,/
Babin ,A,A4,10/04/2025,"7,72","0,4","-111,6","7,67","0,2","-159,6",/,/,/
RS,B,/,11/04/2025,"6,88","0,68","-23,2","7,08","1,63","-17,3",/,/,/
RS,H,/,11/04/2025,"7,6","0,26","-68,7","7,09","0,38","253,4",/,/,/
RS,F,/,11/04/2025,"6,66","0,22","153,2","6,89","0,72","95,9",/,/,/
Babin ,RB,RB1,20/05/2025,"7,27","3,46","-55,2","7,51","6,39","213,4","6,94","0,22","-77,1"
Babin ,RB,RB2,20/05/2025,"7,35","5,84","-18,4","7,54","5,23","203,4","6,94","0,4","135,8"
Babin ,RB,RB3,20/05/2025,"6,93","4,08","-43,5","7,41","5,02","102,3","7,09","1,22","85,4"
Babin ,RB,RB4,20/05/2025,"7,1","3,79","-57,6","7,42","5,86","199,3","6,96","0,21","195,6"
Babin ,RH,RH1,20/05/2025,"6,6","3,55","-60,9","7,41","2,58","188,4","6,95","0,23","-117,5"
Babin ,RH,RH2,20/05/2025,"6,95","1,92","-103,3","7,57","4,68","203,4","6,69","0,21","-128,6"
Babin ,RH,RH3,20/05/2025,"6,7","1,9","-81,4","7,25","1,01","23,3","6,78","0,23","-125,6"
Babin ,RH,RH4,20/05/2025,"6,73","2,06","-80,6","7,14","0,35","33,4","6,6","0,22","-98,1"
Babin ,T,T1,20/05/2025,"6,83","2,59","-90,4","7,13","1,06","38,5","6,28","0,22","30,3"
Babin ,T,T2,20/05/2025,"7,11","0,33","-114,6","7,38","2,01","93,4","6,6","0,24","-116,6"
Babin ,T,T3,20/05/2025,"7,43","0,2","-81,8","7,36","0,52","112,4","6,47","0,22","59,5"
Babin ,T,T4,20/05/2025,"6,8","0,21","-3,6","7,44","3,64","25,2","6,5","0,66","37,2"
Babin ,A,A1,20/05/2025,"6,84","2,52","132,5","7,4","0,21","3,4","6,77","0,18","26,4"
Babin ,A,A2,20/05/2025,"7,2","0,2","-126,6","7,37","0,73","7,5","6,92","0,16",-25
Babin ,A,A3,20/05/2025,"7,01","0,77","108,6","7,37","0,21","-6,6","6,76","0,19","33,4"
Babin ,A,A4,20/05/2025,"6,96","1,67","129,9","7,29","0,17","82,5",7,"0,2","15,4"
RS,B,/,19/05/2025,"6,73","2,05","-40,8","7,5","3,94","213,7",/,/,/
RS,H,/,19/05/2025,"6,84","0,63","-96,6","7,25","2,48","161,8",/,/,/
RS,F,/,19/05/2025,"6,7","0,22","-29,1","7,08","3,42","186,2",/,/,/
Babin ,RB,RB1,11/06/2025,"7,14","3,4","-38,3","7,24","0,21","84,4","6,89","0,18","-89,2"
Babin ,RB,RB2,11/06/2025,"7,15","3,39","-41,3","7,01","0,17","-57,5","6,91","0,17","-131,8"
Babin ,RB,RB3,11/06/2025,"6,83","1,23","-68,9","7,3","1,79","9,7","6,98","0,4","-79,3"
Babin ,RB,RB4,11/06/2025,"7,05","2,12","-68,5","7,35","3,14","61,3","7,03","0,2","65,2"
Babin ,RH,RH1,11/06/2025,"6,73","1,82","-58,4","7,47","4,13","65,2","6,37","0,24","-90,2"
Babin ,RH,RH2,11/06/2025,"7,06","2,48","-101,5","7,1","0,19","-106,2",7,"0,21","-143,3"
Babin ,RH,RH3,11/06/2025,"6,89","2,76","-72,8","7,54","2,02",171,"6,82","0,19","-153,1"
Babin ,RH,RH4,11/06/2025,"6,93","1,1","-93,7","7,59","3,2","59,2","6,49","0,22","-76,7"
Babin ,T,T1,11/06/2025,"6,97","0,19","-93,3","7,82","6,16","88,4","6,74","0,19","-89,1"
Babin ,T,T2,11/06/2025,"7,23","0,62","-91,6","7,73","5,65","103,4","6,75","0,19","-43,6"
Babin ,T,T3,11/06/2025,"7,01","0,17","-136,6","7,78","6,14","42,4","6,96","0,16","-90,6"
Babin ,T,T4,11/06/2025,"6,85","0,22","-119,5","7,79","6,25","133,4","6,49","0,22","3,4"
Babin ,A,A1,11/06/2025,"7,03","3,73","121,4","7,87","5,8","135,8","6,8","0,2","17,4"
Babin ,A,A2,11/06/2025,"7,15","0,38","-96,6","7,92","6,61","117,4",7,"0,19","32,4"
Babin ,A,A3,11/06/2025,"7,05","1,32","120,7","7,68","3,95","145,3","7,01","0,21","48,7"
Babin ,A,A4,11/06/2025,"6,98","0,54","-12,5","7,61","4,05","57,9","6,7","0,19","-0,8"
RS,B,/,10/06/2025,"7,12","3,12","80,3",/,/,/,"6,6","0,25","-13,5"
RS,H,/,10/06/2025,"6,99","0,27","-94,3","7,22","4,2","99,3","6,99","0,27","-81,2"
RS,F,/,10/06/2025,"6,55","0,23","36,6","7,05","3,15","144,1","6,72","0,22",126
