Localisation,Station,Parcelle,Date,Profondeur de nappe (cm),Salinité à -30cm piézo (g/L),Salinité en surface piézo (g/L),Salinité en surface dehors (g/L),Salinité eau inter -30cm (g/L)
RS,B,/,29/03/2025,-19,17,/,/,/
RS,H,/,29/03/2025,-45,21,/,/,/
RS,F,/,29/03/2025,16,2,/,/,/
Babin ,RB,RB1,30/03/2025,-30,41,/,/,/
Babin ,RB,RB2,30/03/2025,-5,"40,5",/,/,/
Babin ,RB,RB3,30/03/2025,-32,41,/,/,/
Babin ,RB,RB4,30/03/2025,-3,40,/,/,/
Babin ,RH,RH1,30/03/2025,-5,44,/,/,/
Babin ,RH,RH2,30/03/2025,0,34,/,/,/
Babin ,RH,RH3,30/03/2025,-42,45,/,/,/
Babin ,RH,RH4,30/03/2025,0,46,/,/,/
Babin ,T,T1,30/03/2025,-67,46,/,/,/
Babin ,T,T2,30/03/2025,-71,47,/,/,/
Babin ,T,T3,30/03/2025,-76,47,/,/,/
Babin ,T,T4,30/03/2025,/,/,/,/,/
Babin ,A,A1,30/03/2025,-79,65,/,/,/
Babin ,A,A2,30/03/2025,-57,48,/,/,/
Babin ,A,A3,30/03/2025,-34,50,/,/,/
Babin ,A,A4,30/03/2025,-75,50,/,/,/
Babin ,RB,RB1,10/04/2025,8,38,/,/,/
Babin ,RB,RB2,10/04/2025,-2,40,/,/,/
Babin ,RB,RB3,10/04/2025,-4,41,/,/,/
Babin ,RB,RB4,10/04/2025,-1,40,/,/,/
Babin ,RH,RH1,10/04/2025,-6,45,/,/,/
Babin ,RH,RH2,10/04/2025,-2,45,/,/,/
Babin ,RH,RH3,10/04/2025,-6,48,/,/,/
Babin ,RH,RH4,10/04/2025,-3,45,/,/,/
Babin ,T,T1,10/04/2025,-13,53,/,/,/
Babin ,T,T2,10/04/2025,-14,45,/,/,/
Babin ,T,T3,10/04/2025,-14,45,/,/,/
Babin ,T,T4,10/04/2025,-16,48,/,/,/
Babin ,A,A1,10/04/2025,-39,54,/,/,/
Babin ,A,A2,10/04/2025,-24,44,/,/,/
Babin ,A,A3,10/04/2025,-27,48,/,/,/
Babin ,A,A4,10/04/2025,-30,47,/,/,/
RS,B,/,11/04/2025,-19,18,/,/,/
RS,H,/,11/04/2025,2,16,/,/,/
RS,F,/,11/04/2025,18,0,/,/,/
Babin ,RB,RB1,16/04/2025,0,40,/,/,/
Babin ,RB,RB2,16/04/2025,-4,40,/,/,/
Babin ,RB,RB3,16/04/2025,-4,41,/,/,/
Babin ,RB,RB4,16/04/2025,-4,40,/,/,/
Babin ,RH,RH1,16/04/2025,-3,47,/,/,/
Babin ,RH,RH2,16/04/2025,1,45,/,/,/
Babin ,RH,RH3,16/04/2025,-2,47,/,/,/
Babin ,RH,RH4,16/04/2025,1,47,/,/,/
Babin ,T,T1,16/04/2025,-19,51,/,/,/
Babin ,T,T2,16/04/2025,-21,46,/,/,/
Babin ,T,T3,16/04/2025,-21,44,/,/,/
Babin ,T,T4,16/04/2025,-23,47,/,/,/
Babin ,A,A1,16/04/2025,-42,53,/,/,/
Babin ,A,A2,16/04/2025,-29,43,/,/,/
Babin ,A,A3,16/04/2025,-34,51,/,/,/
Babin ,A,A4,16/04/2025,-34,43,/,/,/
RS,B,/,17/04/2025,-9,35,33,33,/
RS,H,/,17/04/2025,2,17,4,4,/
RS,F,/,17/04/2025,18,"0,5","0,5","0,5",/
Babin ,RB,RB1,22/04/2025,14,40,/,/,/
Babin ,RB,RB2,22/04/2025,7,38,/,/,/
Babin ,RB,RB3,22/04/2025,11,41,/,/,/
Babin ,RB,RB4,22/04/2025,19,40,/,/,/
Babin ,RH,RH1,22/04/2025,4,44,/,/,/
Babin ,RH,RH2,22/04/2025,9,43,/,/,/
Babin ,RH,RH3,22/04/2025,5,49,/,/,/
Babin ,RH,RH4,22/04/2025,9,47,/,/,/
Babin ,T,T1,22/04/2025,8,56,/,/,/
Babin ,T,T2,22/04/2025,6,52,/,/,/
Babin ,T,T3,22/04/2025,7,51,/,/,/
Babin ,T,T4,22/04/2025,7,57,/,/,/
Babin ,A,A1,22/04/2025,1,57,/,/,/
Babin ,A,A2,22/04/2025,4,48,/,/,/
Babin ,A,A3,22/04/2025,5,55,/,/,/
Babin ,A,A4,22/04/2025,4,49,/,/,/
RS,B,/,23/04/2025,2,27,16,6,/
RS,H,/,23/04/2025,7,19,4,2,/
RS,F,/,23/04/2025,20,3,4,"2,5",/
Babin ,RB,RB1,30/04/2025,1,38,33,36,/
Babin ,RB,RB2,30/04/2025,-3,39,31,37,/
Babin ,RB,RB3,30/04/2025,-3,39,35,36,/
Babin ,RB,RB4,30/04/2025,-2,39,36,37,/
Babin ,RH,RH1,30/04/2025,-1,45,37,36,/
Babin ,RH,RH2,30/04/2025,2,45,34,36,/
Babin ,RH,RH3,30/04/2025,1,47,45,35,/
Babin ,RH,RH4,30/04/2025,4,46,43,35,/
Babin ,T,T1,30/04/2025,3,51,36,40,/
Babin ,T,T2,30/04/2025,1,50,49,38,/
Babin ,T,T3,30/04/2025,4,47,47,37,/
Babin ,T,T4,30/04/2025,3,53,51,38,/
Babin ,A,A1,30/04/2025,-1,56,50,36,/
Babin ,A,A2,30/04/2025,2,50,47,37,/
Babin ,A,A3,30/04/2025,3,50,47,36,/
Babin ,A,A4,30/04/2025,1,54,45,36,/
RS,B,/,01/05/2025,-4,20,17,/,/
RS,H,/,01/05/2025,6,28,"5,5",2,/
RS,F,/,01/05/2025,16,2,1,1,/
Babin ,RB,RB1,07/05/2025,9,37,28,31,/
Babin ,RB,RB2,07/05/2025,6,35,31,31,/
Babin ,RB,RB3,07/05/2025,3,35,30,30,/
Babin ,RB,RB4,07/05/2025,1,38,30,29,/
Babin ,RH,RH1,07/05/2025,2,41,17,15,/
Babin ,RH,RH2,07/05/2025,-1,42,39,18,/
Babin ,RH,RH3,07/05/2025,-2,47,45,16,/
Babin ,RH,RH4,07/05/2025,1,45,45,17,/
Babin ,T,T1,07/05/2025,2,51,49,31,/
Babin ,T,T2,07/05/2025,2,50,49,24,/
Babin ,T,T3,07/05/2025,2,47,47,26,/
Babin ,T,T4,07/05/2025,4,52,52,25,/
Babin ,A,A1,07/05/2025,-7,46,45,33,/
Babin ,A,A2,07/05/2025,4,58,53,36,/
Babin ,A,A3,07/05/2025,1,50,49,32,/
Babin ,A,A4,07/05/2025,-5,51,50,23,/
RS,B,/,07/05/2025,2,3,1,"0,5",/
RS,H,/,07/05/2025,10,16,2,1,/
RS,F,/,07/05/2025,22,/,"1,5",1,/
Babin ,RB,RB1,14/05/2025,-2,40,36,33,/
Babin ,RB,RB2,14/05/2025,-3,37,34,38,/
Babin ,RB,RB3,14/05/2025,-4,38,30,33,/
Babin ,RB,RB4,14/05/2025,-5,38,32,33,/
Babin ,RH,RH1,14/05/2025,-1,43,31,17,/
Babin ,RH,RH2,14/05/2025,3,43,37,18,/
Babin ,RH,RH3,14/05/2025,1,42,17,20,/
Babin ,RH,RH4,14/05/2025,3,41,21,22,/
Babin ,T,T1,14/05/2025,5,54,53,22,/
Babin ,T,T2,14/05/2025,3,51,51,22,/
Babin ,T,T3,14/05/2025,4,47,48,23,/
Babin ,T,T4,14/05/2025,3,52,52,19,/
Babin ,A,A1,14/05/2025,0,57,55,21,/
Babin ,A,A2,14/05/2025,4,50,50,17,/
Babin ,A,A3,14/05/2025,"4,5",50,48,18,/
Babin ,A,A4,14/05/2025,5,47,46,19,/
RS,B,/,15/05/2025,0,21,5,3,/
RS,H,/,15/05/2025,7,17,5,1,/
RS,F,/,15/05/2025,18,/,1,1,/
Babin ,RB,RB1,20/05/2025,0,37,32,32,38
Babin ,RB,RB2,20/05/2025,-2,38,30,33,37
Babin ,RB,RB3,20/05/2025,-3,38,29,28,36
Babin ,RB,RB4,20/05/2025,-2,35,33,32,36
Babin ,RH,RH1,20/05/2025,-1,41,40,25,43
Babin ,RH,RH2,20/05/2025,1,44,44,24,43
Babin ,RH,RH3,20/05/2025,0,43,16,22,45
Babin ,RH,RH4,20/05/2025,2,46,43,24,43
Babin ,T,T1,20/05/2025,4,50,50,32,48
Babin ,T,T2,20/05/2025,4,49,48,27,50
Babin ,T,T3,20/05/2025,3,52,52,27,50
Babin ,T,T4,20/05/2025,4,50,49,30,47
Babin ,A,A1,20/05/2025,-1,55,52,35,43
Babin ,A,A2,20/05/2025,8,53,52,36,40
Babin ,A,A3,20/05/2025,3,54,54,32,46
Babin ,A,A4,20/05/2025,2,50,50,34,44
RS,B,/,19/05/2025,1,11,3,2,/
RS,H,/,19/05/2025,9,16,0,1,/
RS,F,/,19/05/2025,21,0,0,2,/
Babin ,RB,RB1,28/05/2025,9,37,28,31,/
Babin ,RB,RB2,28/05/2025,6,35,31,31,/
Babin ,RB,RB3,28/05/2025,-3,35,30,30,/
Babin ,RB,RB4,28/05/2025,1,38,30,29,/
Babin ,RH,RH1,28/05/2025,-2,41,17,15,/
Babin ,RH,RH2,28/05/2025,1,42,39,18,/
Babin ,RH,RH3,28/05/2025,-2,47,45,16,/
Babin ,RH,RH4,28/05/2025,1,45,45,17,/
Babin ,T,T1,28/05/2025,2,51,49,31,/
Babin ,T,T2,28/05/2025,2,50,49,24,/
Babin ,T,T3,28/05/2025,2,47,47,26,/
Babin ,T,T4,28/05/2025,4,52,52,25,/
Babin ,A,A1,28/05/2025,-7,46,45,33,/
Babin ,A,A2,28/05/2025,14,58,53,36,/
Babin ,A,A3,28/05/2025,1,50,49,32,/
Babin ,A,A4,28/05/2025,-5,51,50,23,/
RS,B,/,28/05/2025,-6,32,22,/,/
RS,H,/,28/05/2025,4,17,2,1,/
RS,F,/,28/05/2025,19,"1,5",0,1,/
Babin ,RB,RB1,04/06/2025,14,37,37,37,/
Babin ,RB,RB2,04/06/2025,11,36,35,35,/
Babin ,RB,RB3,04/06/2025,2,37,36,36,/
Babin ,RB,RB4,04/06/2025,8,38,36,36,/
Babin ,RH,RH1,04/06/2025,-2,39,34,34,/
Babin ,RH,RH2,04/06/2025,1,40,35,34,/
Babin ,RH,RH3,04/06/2025,0,44,38,34,/
Babin ,RH,RH4,04/06/2025,3,42,35,34,/
Babin ,T,T1,04/06/2025,4,50,44,44,/
Babin ,T,T2,04/06/2025,2,49,48,41,/
Babin ,T,T3,04/06/2025,3,44,43,41,/
Babin ,T,T4,04/06/2025,2,46,46,41,/
Babin ,A,A1,04/06/2025,-1,58,56,42,/
Babin ,A,A2,04/06/2025,2,48,45,41,/
Babin ,A,A3,04/06/2025,4,50,45,40,/
Babin ,A,A4,04/06/2025,3,45,43,39,/
RS,B,/,03/06/2025,2,35,33,33,/
RS,H,/,03/06/2025,1,16,2,3,/
RS,F,/,03/06/2025,19,"1,5","1,5",2,/
Babin ,RB,RB1,11/06/2025,-2,36,32,33,37
Babin ,RB,RB2,11/06/2025,-3,35,33,31,37
Babin ,RB,RB3,11/06/2025,-3,37,33,34,37
Babin ,RB,RB4,11/06/2025,-5,38,34,35,36
Babin ,RH,RH1,11/06/2025,-2,38,22,21,41
Babin ,RH,RH2,11/06/2025,1,42,35,25,43
Babin ,RH,RH3,11/06/2025,0,42,36,18,41
Babin ,RH,RH4,11/06/2025,2,41,35,15,47
Babin ,T,T1,11/06/2025,3,49,44,25,49
Babin ,T,T2,11/06/2025,1,48,46,26,48
Babin ,T,T3,11/06/2025,3,45,21,23,35
Babin ,T,T4,11/06/2025,1,49,45,23,45
Babin ,A,A1,11/06/2025,-2,59,55,23,57
Babin ,A,A2,11/06/2025,2,47,46,21,23
Babin ,A,A3,11/06/2025,3,50,46,23,40
Babin ,A,A4,11/06/2025,2,45,43,21,38
RS,B,/,10/06/2025,-5,35,29,/,20
RS,H,/,10/06/2025,4,20,4,4,8
RS,F,/,10/06/2025,17,3,0,1,3
