num_poste,nom_usuel,lat,lon,alti,aaaammjj,dhumec,qdhumec,pmerm,qpmerm,pmermin,qpmermin,inst,qinst,glot,qglot,dift,qdift,dirt,qdirt,infrart,qinfrart,uv,quv,uv_indicex,quv_indicex,sigma,qsigma,un,qun,hun,qhun,ux,qux,hux,qhux,um,qum,dhumi40,qdhumi40,dhumi80,qdhumi80,tsvm,qtsvm,etpmon,qetpmon,etpgrille,qetpgrille,ecoulementm,qecoulementm,hneigef,qhneigef,neigetotx,qneigetotx,neigetot06,qneigetot06,neig,qneig,brou,qbrou,orag,qorag,gresil,qgresil,grele,qgrele,rosee,qrosee,verglas,qverglas,solneige,qsolneige,gelee,qgelee,fumee,qfumee,brume,qbrume,eclair,qeclair,nb300,qnb300,ba300,qba300,tmermin,qtmermin,tmermax,qtmermax
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250105,,,1015.6,1,1014.1,1,266,9,1403,9,,,,,,,,,,,40,9,61,1,1118,9,97,1,47,9,83,1,0,9,925,9,26.2,9,3.5,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250106,,,1015.6,1,1013.8,1,446,9,1665,9,,,,,,,,,,,67,9,48,1,1113,9,98,1,647,9,78,1,0,9,703,9,24.1,9,3.7,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250111,,,1014.5,1,1012.9,1,274,9,1336,9,,,,,,,,,,,41,9,56,1,1222,9,94,1,2327,9,77,1,0,9,754,9,24.3,9,3.6,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250110,,,,,,,,,1792,9,,,,,,,,,,,,,48,1,1142,9,99,1,748,9,83,1,0,9,960,9,24.9,9,3.2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250107,,,1015,1,1013.2,1,392,9,1565,9,,,,,,,,,,,59,9,62,1,1611,9,97,1,317,9,81,1,0,9,804,9,26,9,3.5,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250109,,,,,,,,,1570,9,,,,,,,,,,,,,57,1,1248,9,98,1,730,9,82,1,0,9,864,9,24.1,9,2.9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250108,,,1014.5,1,1012.8,1,432,9,1660,9,,,,,,,,,,,65,9,62,1,1236,9,96,1,307,9,81,1,0,9,796,9,25.6,9,3.6,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250104,,,,,,,,,862,9,,,,,,,,,,,,,75,1,1006,9,97,1,2330,9,94,1,0,9,1374,9,27,1,1.4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250101,,,,,,,,,1970,9,,,,,,,,,,,,,55,1,1406,9,96,1,606,9,80,1,0,9,864,9,23.9,1,3.7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250109,,,1013,1,1011.5,1,560,9,1943,9,,,,,,,,,,,84,9,52,1,1139,9,97,1,548,9,79,1,0,9,763,9,23.5,9,3.7,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,1,9,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250103,,,,,,,,,1928,9,,,,,,,,,,,,,48,1,1200,9,94,1,2354,9,77,1,0,9,792,9,23.6,1,4.3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250105,,,,,,,,,1736,9,,,,,,,,,,,,,63,1,1424,9,98,1,742,9,86,1,0,9,1002,9,26.8,1,3.2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250110,,,1013.3,1,1012.1,1,434,9,1516,9,,,,,,,,,,,65,9,52,1,1142,9,98,1,413,9,81,1,0,9,882,9,24.1,9,3.1,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250102,,,,,,,,,1780,9,,,,,,,,,,,,,56,1,1630,9,88,1,48,9,73,1,0,9,348,9,23.4,1,4.1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250112,,,1015.6,1,1014,1,368,9,1552,9,,,,,,,,,,,55,9,58,1,1345,9,98,1,615,9,83,1,0,9,845,9,24.6,9,3.2,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250113,,,1015.7,1,1013.8,1,465,9,1836,9,,,,,,,,,,,70,9,59,1,1319,9,97,1,350,9,81,1,0,9,777,9,24.6,9,3.9,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250114,,,1015.7,1,1014.2,1,199,9,1092,9,,,,,,,,,,,30,9,66,1,1535,9,96,1,2241,9,86,1,0,9,1043,9,25.3,9,2.5,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250115,,,1015.1,1,1013.5,1,238,9,1247,9,,,,,,,,,,,36,9,64,1,1353,9,98,1,337,9,84,1,0,9,909,9,24.8,9,2.6,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250116,,,1015.9,1,1014.2,1,467,9,1773,9,,,,,,,,,,,70,9,55,1,1207,9,98,1,712,9,82,1,0,9,825,9,24.6,9,3.5,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250117,,,1017.3,1,1015.3,1,495,9,1690,9,,,,,,,,,,,74,9,58,1,1008,9,98,1,128,9,80,1,0,9,637,9,25.2,9,3.6,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250118,,,1018.2,1,1016.7,1,374,9,1440,9,,,,,,,,,,,56,9,68,1,1516,9,95,1,308,9,82,1,0,9,860,9,26.7,9,3.6,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250107,,,,,,,,,1134,9,,,,,,,,,,,,,67,1,1612,9,95,1,324,9,84,1,0,9,900,9,25.9,9,2.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250114,,,,,,,,,1290,9,,,,,,,,,,,,,61,1,1436,9,94,1,2312,9,82,1,0,9,900,9,24.8,1,2.7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250106,,,,,,,,,1906,9,,,,,,,,,,,,,55,1,1118,9,94,1,2330,9,76,1,0,9,744,9,24.3,1,4.3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250119,,,,,,,,,2007,9,,,,,,,,,,,,,54,1,1136,9,78,1,212,9,70,1,0,9,0,9,24.5,9,5.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250111,,,,,,,,,1592,9,,,,,,,,,,,,,57,1,1242,9,95,1,2354,9,78,1,0,9,828,9,24,1,3.3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250108,,,,,,,,,1980,9,,,,,,,,,,,,,57,1,1454,9,98,1,730,9,83,1,0,9,900,9,25.4,1,3.8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250112,,,,,,,,,1888,9,,,,,,,,,,,,,63,1,1400,9,98,1,742,9,84,1,0,9,912,9,24.8,1,3.3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250113,,,,,,,,,1818,9,,,,,,,,,,,,,61,1,1312,9,96,1,418,9,82,1,0,9,864,9,25.3,1,3.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250119,,,1018.2,1,1016.8,1,539,9,1828,9,,,,,,,,,,,80,9,54,1,1143,9,83,1,224,9,73,1,0,9,356,9,24.6,9,5,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250120,,,1018.4,1,1016.6,1,471,9,1815,9,,,,,,,,,,,70,9,55,1,1038,9,91,1,2312,9,73,1,0,9,242,9,24.8,9,5.5,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250115,,,,,,,,,1796,9,,,,,,,,,,,,,63,1,1454,9,97,1,824,9,84,1,0,9,924,9,25.1,1,3.3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250124,,,1016.3,1,1014.2,1,408,9,1680,9,,,,,,,,,,,61,9,56,1,1102,9,97,1,127,9,79,1,0,9,598,9,25.3,9,3.9,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250121,,,1018.3,1,1016.8,1,390,9,1543,9,,,,,,,,,,,58,9,60,1,1114,9,86,1,3,9,74,1,0,9,201,9,25.1,9,4.7,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250116,,,,,,,,,1840,9,,,,,,,,,,,,,61,1,1400,9,98,1,754,9,83,1,0,9,918,9,25,1,3.4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
