Individu,Masse 1ère pesée (g),Masse 2ème pesée (g),Nombre de disque,Epaisseur (um),,
RH1I1,"1,581","1,571",87,"41,1",,
RH1I2,"2,047","2,032",110,"39,56",,
RH2I1,"1,699","1,69",93,"38,31",,
RH2I2,"1,047","1,049",60,"36,6",,
RH3I1,"1,17","1,152",60,36,,
RH3I2,"1,197","1,178",60,"37,2",,
RH4I1,"1,057","1,046",57,"39,55",,
RH4I2,"1,038","1,08",59,"38,1",,
RB1I1,"1,376","1,365",87,"35,9",,
RB1I2,"1,645","1,648",95,"38,33",,
RB2I1,"1,168","1,14",63,"38,38",,
RB2I2,"1,714","1,699",96,"36,75",,
RB3I1,"1,797","1,765",94,"38,47",,
RB3I2,"2,235","2,242",111,"39,1",,
RB4I1,"1,128","1,136",67,38,,
RB4I2,"1,985","1,964",121,"34,63",,
T1RhI1,,"1,095",66,,,
T1RhI2,,"1,701",95,"36,6",,
T1RhI3,,"1,657",85,"40,4",,
T2RhI1,,"1,697",87,"43,4",,
T2RhI2,,"1,107",59,"39,75",,
T2RhI3,,"0,958",51,,,
T3RhI1,,"1,171",59,,,
T3RhI2,,"1,268",66,,,
T3RhI3,,"1,095",64,,,
T4RhI1,,"1,684",88,"37,6",,
T4RhI2,,"1,635",87,"38,4",,
T4RhI3,,"1,799",90,"39,2",,
T1AVI1,,"0,974",51,,,
T1AVI2,,"0,86",38,,,
T1AVI3,,"1,129",51,"41,4",,
T2AVI1,,"0,841",50,42,,
T2AVI2,,"1,157",56,"43,4",,
T2AVI3,,"0,932",46,,,
T3AVI1,,"1,268",66,,,
T3AVI2,,"0,99",58,,,
T3AVI3,,"1,59",71,"50,25",,
T4AVI1,,"1,175",59,,,
T4AVI2,,"1,882",85,47,,
T4AVI3,,"1,564",83,"43,4",,"44,575"
AV1I1,,"1,31",87,"37,4",,
AV1I2,,"1,327",79,"41,8",,
AVI13,,"1,239",76,"35,8",,"39,75"
AV2I1,,"1,013",60,"42,2",,
AV2I2,,"1,266",81,"36,2",,
AV2I3,,"0,982",60,,,
AV3I1,,"0,841",53,,,
AV3I2,,"1,838",96,46,,
AV3I3,,"1,569",90,40,,
AV4I1,,"1,185",69,"38,6",,
AV4I2,,"1,361",74,,,
AV413,,"1,262",66,,,
