Individu,Masse 1ère pesée (g),Masse 2ème pesée (g),Nombre de disque,Epaisseur (um)
RH1I1,"1,581","1,571",87,"41,1"
RH1I2,"2,047","2,032",110,"39,56"
RH2I1,"1,699","1,69",93,"38,31"
RH2I2,"1,047","1,049",60,"36,6"
RH3I1,"1,17","1,152",60,36
RH3I2,"1,197","1,178",60,"37,2"
RH4I1,"1,057","1,046",57,"39,55"
RH4I2,"1,038","1,08",59,"38,1"
RB1I1,"1,376","1,365",87,"35,9"
RB1I2,"1,645","1,648",95,"38,33"
RB2I1,"1,168","1,14",63,"38,38"
RB2I2,"1,714","1,699",96,"36,75"
RB3I1,"1,797","1,765",94,"38,47"
RB3I2,"2,235","2,242",111,"39,1"
RB4I1,"1,128","1,136",67,38
RB4I2,"1,985","1,964",121,"34,63"
